pid,handle,type,title,fair,identifier
umd:625,hdl:1903.1/240,UMD_IMAGE,"Equestrian sculpture at the Louisiana Purchase Exposition, St. Louis, Mo., ""St. Louis""","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0014a
umd:63,hdl:1903.1/197,UMD_IMAGE,"Centennial relics: Wallace & Keller having purchased from the City all the Oak Joists taken out of Independence Hall, during repairs, etc., do now offer...","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0034
umd:628,hdl:1903.1/244,UMD_IMAGE,"Equestrian sculpture at the Louisiana Purchase Exposition, St. Louis, Mo., ""St. Louis""","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0014b
umd:607,hdl:1903.1/236,UMD_IMAGE,"Palace of Machinery & Transportation Building, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0010
umd:616,hdl:1903.1/237,UMD_IMAGE,"Sculpture at the Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0012
umd:619,hdl:1903.1/238,UMD_IMAGE,"Equestrian sculpture at the Louisiana Purchase Exposition, St. Louis, Mo., ""St. Louis""","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0013a
umd:348,hdl:1903.1/106,UMD_IMAGE,Women's Pavilion,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0237
umd:339,hdl:1903.1/92,UMD_IMAGE,U.S. Exhibition Building,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0234
umd:396,hdl:1903.1/283,UMD_IMAGE,"Main Building, Centennial Exhibition","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0267a
umd:772,hdl:1903.1/157,UMD_IMAGE,"Crystal Palace, view up nave from gallery...","Great Exhibition (1851 : London, England)",Call Number: 1851-lon-30-0001
umd:73634,hdl:1903.1/9707,UMD_IMAGE,"Night illumination panoramic, Panama-Pacific International Exposition, San Francisco, California, 1915","Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",Call Number: 1915-sfr-08-0017
umd:73335,hdl:1903.1/9652,UMD_IMAGE,"Admission ticket, World's Columbian Exposition, 1893","World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-08-0011
umd:924,hdl:1903.1/256,UMD_IMAGE,Colonnade of the Palace of Fine Arts,"Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",Call Number: 1915-sfr-16-0017-001
umd:74,hdl:1903.1/168,UMD_IMAGE,Centennial Horticultural Hall,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0043
umd:703,hdl:1903.1/207,UMD_IMAGE,French Government Bldg.,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0016
umd:727,hdl:1903.1/176,UMD_IMAGE,Palace of Agriculture,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0024
umd:706,hdl:1903.1/174,UMD_IMAGE,Brazilian Government Bldg.,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0017
umd:748,hdl:1903.1/183,UMD_IMAGE,Louisiana Purchase Monument,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0031
umd:868,hdl:1903.1/190,UMD_IMAGE,"Looking North from Esplanade des Invalides, Alexander III Bridge and both Palaces of Fine Arts, Expostition 1900, Paris, France.","Exposition universelle internationale de 1900 (Paris, France)",Call Number: 1900-ar-20-0019
umd:852,hdl:1903.1/145,UMD_IMAGE,Women's Building,"World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-26-0003-022
umd:876,hdl:1903.1/180,UMD_IMAGE,Temple of Music,"Pan-American Exposition (1901 : Buffalo, N.Y.)",Call Number: 1901-buf-16-0004-002
umd:846,hdl:1903.1/120,UMD_IMAGE,Midway Plaisance,"World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-20-0012
umd:530,hdl:1903.1/338,UMD_IMAGE,Machinery Hall,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-20-0003
umd:554,hdl:1903.1/261,UMD_IMAGE,Palace of Manufactures,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-08-0031
umd:525,hdl:1903.1/265,UMD_IMAGE,Pennsylvania Day,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-20-0002
umd:548,hdl:1903.1/266,UMD_IMAGE,Palace of Machinery,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-08-0029
umd:551,hdl:1903.1/262,UMD_IMAGE,Cascade Gardens and Grand Basin,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-08-0030
